,quality_score,Species,Owner,Country of Origin,Farm Name,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,NA.1,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Certification Body,Certification Address,Certification Contact
531,83,Arabica,Grounds for Health Admin,Nicaragua,Santa Rosa,Beneficio AtlanticSebaco,1-053-0222,,,Matagalpa,Juan AugustinPalacio,2.0,6,Specialty Coffee Association,2009-2010,"May 31st, 2010",Caturra,Completed,,7.58,7.83,7.75,7.92,7.92,8.08,Sample,9.33,9.33,9.33,7.92,Sample  83.00,0.07,0,0.0,,0,"May 31st, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
532,83,Arabica,Doi Tung Development Project,Thailand,Doi Tung Development Project,,,,,,Doi Tung Development Project,1.0,0.454,Specialty Coffee Association,,"April 13th, 2010",,Completed,,7.5,7.25,7.42,7.75,8.17,7.5,Sample,10.0,10.0,10.0,7.42,Sample  83.00,0.0,0,0.0,,0,"April 13th, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
533,82.92,Arabica,Ipanema Coffees,Brazil,Fazenda Capoeirinha,Dry Mill,002/1660/0080,Ipanema Coffees,890,South of Minas Gerais,Ipanema Agricola S.A,320.0,60,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Bourbon,Completed,Natural / Dry,7.67,7.58,7.5,7.58,7.58,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.92,0.0,0,0.0,Green,0,"October 20th, 2018",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705
534,82.92,Arabica,Consejo Salvadoreño del Café,El Salvador,Santa Josefita,Beneficio Cuzcachapa,09-030-273,Soc. Coop. Cuzcachapa de R.L.,1350,Apaneca-Ilamatepec,"Balcanes Coffee Estates, S.A. de C.V.",100.0,69,Salvadoran Coffee Council,2017,"August 28th, 2017",Bourbon,Completed,Washed / Wet,7.5,7.5,7.75,7.58,7.92,7.83,Sample,10.0,10.0,9.33,7.5,Sample  82.92,0.0,0,0.0,Green,1,"August 28th, 2018",Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600
535,82.92,Arabica,Racafe & Cia S.C.A,Colombia,,Bogota,3-37-4468,Racafe & Cia S.C.A,1500,Guayata,,129.0,70,Almacafé,2017,"July 7th, 2017",Caturra,Completed,Washed / Wet,7.58,7.67,7.5,7.33,7.67,7.58,Sample,10.0,10.0,10.0,7.58,Sample  82.92,0.11,0,0.0,Green,1,"July 7th, 2018",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600
536,82.92,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,Shi Fang Yuan 十方源,Shi Fang Yuan 十方源,Taiwan,Taiwan Coffee Laboratory,350,"Dongshan Dist., Tainan City 臺南市東山區",Wang Chao Yung 王超永,10.0,20,Specialty Coffee Association,2016,"June 28th, 2016",Caturra,Completed,Natural / Dry,7.17,7.83,7.25,7.67,7.67,7.58,Sample,10.0,10.0,10.0,7.75,Sample  82.92,0.09,31,0.0,Green,0,"June 28th, 2017",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
537,82.92,Arabica,CQI Taiwan ICP CQI台灣合作夥伴,Ethiopia,-,--,010/0357/0085,Belayneh Kindie,2000,"Blida,kercha,Guji,Oromia",-,250.0,60,Blossom Valley International,2016,"February 26th, 2016",Ethiopian Heirlooms,Completed,Washed / Wet,7.58,7.58,7.5,7.5,7.58,7.58,Sample,10.0,10.0,10.0,7.58,Sample  82.92,0.0,1,0.0,Bluish-Green,20,"February 25th, 2017",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323
538,82.92,Arabica,CQI Taiwan ICP CQI台灣合作夥伴,Taiwan,佐佑品咖啡莊園,誼鎂有限公司,123,宸嶧國際,775,台東太麻里,許文郎,11.0,2,Blossom Valley International,2014,"September 7th, 2015",Typica,Completed,Natural / Dry,7.5,7.58,7.67,7.33,7.5,7.75,Sample,10.0,10.0,10.0,7.58,Sample  82.92,0.0,0,0.0,Green,9,"September 6th, 2016",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323
539,82.92,Arabica,Renee A. Perrine,Philippines,Kalugmanan Agri Development Corp.,Kalugmanan Agri Development Corp.,444,Hineleban Foundation,"1,200 masl","Bukidnon, Mindanao, Philppines",Hineleban Foundation,250.0,2,Torch Coffee Lab Yunnan,2015,"July 31st, 2015",Other,Completed,Washed / Wet,7.58,7.58,7.67,7.58,7.5,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.92,0.11,0,0.0,Blue-Green,1,"July 30th, 2016",Torch Coffee Lab Yunnan,云南省普洱市思茅区龙生路公园1号105栋306室 张富明 Long Shen Road Gong Yuan 1 Hao Building 105 Suite 306 18708858982,Marty Pollack - 18287988435
540,82.92,Arabica,Zarah Zamora Perez,Philippines,"several, Bukidnon, Mindanao, Philippines",Ephemera Traders,,Ephemera Traders,"1,600 + meters above sea level",Asia Pacific,Ephemera Traders,4.0,2,Specialty Coffee Association,2014,"July 21st, 2015",Other,Completed,Washed / Wet,8.08,7.5,7.67,7.42,7.33,7.5,Sample,10.0,10.0,10.0,7.42,Sample  82.92,0.0,0,0.0,Bluish-Green,0,"July 20th, 2016",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
541,82.92,Arabica,PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Mexico,Pinzoneno,La yerba,4,PRODUCTOS Y SERVICIOS CHILINDRÓN S.A DE C.V,1059,Cuarenteño,Catalina Rodriguez Mayorga,11.0,2,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2015,"July 14th, 2015",Typica,Completed,Natural / Dry,7.83,7.67,7.25,7.58,7.5,7.5,Sample,10.0,10.0,10.0,7.58,Sample  82.92,0.13,0,0.0,Blue-Green,3,"July 13th, 2016",Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,Liverpool 91 COL. Juárez CP06600. Cuauhtémoc México DF,ING. Arturo Hernández Fujigaki - +52 (55) 56984710
542,82.92,Arabica,Andrew Bowman,Mexico,FIECH (mixed producers),,16,"Tony's Coffee and Teas, Inc.","1,300 meters",Chiapas,FIECH,275.0,2,Specialty Coffee Association,2015,"June 11th, 2015",Bourbon,Completed,Washed / Wet,7.75,7.67,7.42,7.42,7.75,7.5,Sample,10.0,10.0,10.0,7.42,Sample  82.92,0.12,2,0.0,Bluish-Green,8,"June 10th, 2016",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
543,82.92,Arabica,Expocaccer Coop dos Cafeic do Cerrado Ltda,Brazil,Fazenda Pantano,,999,Expocaccer,11000 metros,Cerrado,GERSON NAIMEG,300.0,2,Brazil Specialty Coffee Association,2014/2015,"August 15th, 2014",Moka Peaberry,Completed,Semi-washed / Semi-pulped,7.08,7.5,7.5,7.83,7.75,7.67,Sample,10.0,10.0,10.0,7.58,Sample  82.92,0.11,0,0.0,Green,16,"August 15th, 2015",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705
544,82.92,Arabica,Kawacom Uganda LTD,Uganda,Sipi organic coffee project,Kawacom uganda ltd,0,Kawacom uganda LTD,1400-1900,Eastern,Sipi organic coffee project,1.0,60,Uganda Coffee Development Authority,2013,"June 27th, 2014",SL14,Completed,Washed / Wet,8.0,7.5,7.5,7.58,7.33,7.42,Sample,10.0,10.0,10.0,7.58,Sample  82.92,0.12,0,0.0,Green,0,"June 27th, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073
545,82.92,Arabica,Nyapea coffee farmers association,Uganda,Nyapea coffee farmers,Nyapea,0,Nyapea coffee farmers association,1400,West Nile,Nyapea coffee farmers association,1.0,60,Uganda Coffee Development Authority,2013,"June 27th, 2014",SL14,Completed,Washed / Wet,7.75,7.58,7.58,7.5,7.5,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.92,0.12,0,0.0,Green,4,"June 27th, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073
546,82.92,Arabica,Juan Luis Alvarado Romero,Guatemala,FINCA MEDINA,BENEFICIO SIEMBRAS VISION (154),11-11711-27,"SIEMBRAS VISION, S.A.",1500 MSNM,ANTIGUA,"SIEMBRAS VISION, S.A.",250.0,69,Asociacion Nacional Del Café,2014,"April 3rd, 2014",Bourbon,Completed,Washed / Wet,7.75,7.5,7.42,7.58,7.67,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.92,0.1,0,0.0,Green,1,"April 3rd, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951
547,82.92,Arabica,Juan Luis Alvarado Romero,Guatemala,FINCA MEDINA,BENEFICIO SIEMBRAS VISIÓN (154),11-11711-84 (S.V.S.A),"SIEMBRAS VISIÓN, S.A.",1500 MSNM,ANTIGUA,"SIEMBRAS VISIÓN, S.A.",26.0,69,Asociacion Nacional Del Café,2014,"March 7th, 2014",Caturra,Completed,Natural / Dry,7.67,7.83,7.42,7.5,7.33,7.5,Sample,10.0,10.0,10.0,7.67,Sample  82.92,0.1,0,0.0,Green,2,"March 7th, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951
548,82.92,Arabica,Rob Tuttle,Guatemala,,,11-049-0093,Thrive Farmers,,,,1.0,2,Specialty Coffee Association,2012,"December 27th, 2013",,Completed,Washed / Wet,7.58,7.58,7.25,7.58,7.58,7.58,Sample,10.0,10.0,10.0,7.75,Sample  82.92,0.1,0,0.0,Green,4,"December 27th, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
549,82.92,Arabica,Racafe & Cia S.C.A,Colombia,,,3-37-2864,Racafe & Cia S.C.A,1800 - 2000,Huila,,250.0,70,Almacafé,2013,"September 13th, 2013",Caturra,Completed,Washed / Wet,7.58,7.5,7.75,7.33,7.58,7.58,Sample,10.0,10.0,10.0,7.58,Sample  82.92,0.11,0,0.0,Green,2,"September 13th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600
550,82.92,Arabica,Exportadora de Cafe Condor S.A,Colombia,,trilladora bonanza,3-68-0145,Exportadora de Cafe Condor S.A,1750 msnm,huila,,250.0,70,Almacafé,2013,"March 20th, 2013",Caturra,Completed,Natural / Dry,7.75,7.5,7.25,7.5,7.75,7.5,Sample,10.0,10.0,10.0,7.67,Sample  82.92,0.0,0,0.0,Bluish-Green,0,"March 20th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600
551,82.92,Arabica,Juan Luis Alvarado Romero,Guatemala,FINCA LOS CERROS Y ANEXOS,BENEFICIO EXPORTCAFE AGUA SANTA,11-52-492,"EXPORTCAFE, S.A",5440-5760 METROS,HUEHUETENANGO,OTTONIEL VILLATORO LOPEZ,250.0,69,Asociacion Nacional Del Café,2013,"March 11th, 2013",Bourbon,Completed,Washed / Wet,7.83,7.75,7.25,7.92,7.5,7.17,Sample,10.0,10.0,10.0,7.5,Sample  82.92,0.11,0,0.0,Green,2,"March 11th, 2014",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951
552,82.92,Arabica,Olam Agro Colombia,Colombia,,Trilladora Europa,3-259.0267,Olam international Ltd,1450,Antioquia,,250.0,70,Almacafé,2013,"January 22nd, 2013",Other,Completed,Washed / Wet,7.83,7.67,7.42,7.42,7.5,7.58,Sample,10.0,10.0,10.0,7.5,Sample  82.92,0.11,3,0.0,Green,5,"January 22nd, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600
553,82.92,Arabica,MARIA GUADALUPE GOMEZ ANZO,Mexico,EL REGALITO,EL REGALITO,0,,1248,PETATLAN,MARIA GUADALUPE GOMEZ ANZO,15.0,1,AMECAFE,2012,"July 26th, 2012",Typica,Completed,Natural / Dry,7.58,7.58,7.33,7.25,7.58,7.75,Sample,10.0,10.0,10.0,7.83,Sample  82.92,0.1,0,0.0,Green,4,"July 26th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792
554,82.92,Arabica,Royal Base Corporation,Vietnam,"Apollo Co., Ltd.","Apollo Co., Ltd.",,Royal Base Corporation,1040M,Don Duong,"Apollo Co., Ltd.",1.0,2,Specialty Coffee Association,2012,"July 20th, 2012",Other,Completed,Natural / Dry,7.67,7.33,7.17,7.58,8.08,7.42,Sample,10.0,10.0,10.0,7.67,Sample  82.92,0.0,0,0.0,None,17,"July 20th, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
555,82.92,Arabica,VERONICA LOPEZ CASTILLEJOS,Mexico,EL JABALI,COMUNIDAD LA CUMBRE,1489,UNION DE EJIDOS SAN FERNANDO DE RI,1400 m,LA CUMBRE,WERCLEIN HERNANDEZ SERRANO ID.-1506728641,100.0,1,AMECAFE,2012,"March 5th, 2012",Typica,Completed,Washed / Wet,8.0,7.92,7.67,7.17,7.67,7.42,Sample,9.33,10.0,10.0,7.75,Sample  82.92,0.14,1,0.0,Green,4,"March 5th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792
556,82.92,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,2200301,CQI,,Kona,,8.0,45.359,Specialty Coffee Association,2012,"February 23rd, 2012",Hawaiian Kona,Completed,Washed / Wet,7.5,7.5,7.5,7.42,7.67,7.83,Sample,10.0,10.0,10.0,7.5,Sample  82.92,0.1,0,0.0,Green,0,"February 22nd, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
557,82.92,Arabica,Racafe & Cia S.C.A,Colombia,,,3-37-2759,,1050 - 1850 msnm,Cauca,,250.0,70,Almacafé,Abril - Julio /2011,"July 19th, 2011",,Completed,,7.5,7.75,7.33,7.75,7.08,7.83,Sample,10.0,10.0,10.0,7.67,Sample  82.92,0.15,0,0.0,,0,"July 18th, 2012",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600
558,82.92,Arabica,Doi Tung Development Project,Thailand,Doi Tung Development Project,,,,,,Doi Tung Development Project,2.0,0.454,Specialty Coffee Association,,"April 13th, 2010",,Completed,,7.42,7.58,7.5,7.17,7.5,8.0,Sample,10.0,10.0,10.0,7.75,Sample  82.92,0.0,0,0.0,,0,"April 13th, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
559,82.83,Arabica,Jungle Estate,Kenya,JUNGLE ESTATE,NKG MILLS,,Keremara Limited,1754,NYERI,KEREMARA LIMITED,27.0,50,Kenya Coffee Traders Association,2017,"October 13th, 2017",SL28,Completed,Washed / Wet,7.75,7.58,7.42,7.58,7.5,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.83,0.1,0,0.0,Green,3,"October 13th, 2018",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621
560,82.83,Arabica,Juan Luis Alvarado Romero,Guatemala,PIAMONTE,BENEFICIO IXCHEL,11/23/0513,"UNEX GUATEMALA, S.A.",1700,SAN MARCOS,JORGE LEAL,50.0,69,Asociacion Nacional Del Café,2017,"June 22nd, 2017",Bourbon,Completed,Washed / Wet,7.5,7.58,7.33,7.67,7.58,7.58,Sample,10.0,10.0,10.0,7.58,Sample  82.83,0.11,1,1.0,Green,2,"June 22nd, 2018",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951
561,82.83,Arabica,Ipanema Coffees,Brazil,Capoeirinha,Dry mill,002/1660/0047,Ipanema Coffees,905,South of Minas Gerais,Ipanema Agricola,320.0,60,Brazil Specialty Coffee Association,2015,"February 6th, 2017",Yellow Bourbon,Completed,Pulped natural / honey,7.67,7.58,7.58,7.5,7.5,7.42,Sample,10.0,10.0,10.0,7.58,Sample  82.83,0.11,0,2.0,Bluish-Green,2,"February 6th, 2018",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705
562,82.83,Arabica,Consejo Salvadoreño del Café,El Salvador,El Barbaro,Santa Adelaida,09-0488-1,Consejo Salvadoreño del Café,1250,El Bálsamo - Quezaltepec,"El Barbaro, S.A. de C.V.",275.0,69,Salvadoran Coffee Council,2016,"April 8th, 2016",Pacas,Completed,Washed / Wet,7.33,7.67,7.67,7.83,7.33,7.67,Sample,10.0,10.0,10.0,7.33,Sample  82.83,0.0,0,0.0,Green,4,"April 8th, 2017",Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600
563,82.83,Arabica,Samuel Muhirwa,Rwanda,Gicumbi,Coffee Business Center (CBC) dry mill,,Bufcoffee Ltd,1900,Gicumbi,Bufcoffee_Gicumbi,150.0,60,Specialty Coffee Association,2015,"March 25th, 2016",Bourbon,Completed,Washed / Wet,7.83,7.92,7.75,7.83,7.75,7.75,Sample,9.33,9.33,9.33,8.0,Sample  82.83,0.11,0,0.0,Bluish-Green,0,"March 25th, 2017",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
564,82.83,Arabica,"Sunvirtue Co., Ltd.",Vietnam,APOLLO Estate,APOLLO Estate,,"Sunvirtue Co., Ltd.",1040,Vietnam Tutra,"Yeh, Li Chuan",3.0,2,Specialty Coffee Association,2014,"January 19th, 2016",Other,Completed,Other,7.25,7.58,7.5,7.42,7.75,7.42,Sample,10.0,10.0,10.0,7.92,Sample  82.83,0.11,11,0.0,Green,0,"January 18th, 2017",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
565,82.83,Arabica,Juan Luis Alvarado Romero,Guatemala,EL PAPATURRO,BENEFICIO IXCHEL,11/23/0578,"UNEX GUATEMALA, S.A.",4000PSN,ORIENTE,AMILCAR LAPOLA,80.0,69,Asociacion Nacional Del Café,2015,"July 20th, 2015",Bourbon,Completed,Washed / Wet,7.58,7.58,7.33,7.67,7.67,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.83,0.11,0,0.0,Green,2,"July 19th, 2016",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951
566,82.83,Arabica,Cafebras,Brazil,Santa Fé 2,VIA SECA,002/1495/0695,Cafebras Comercio de Cafés do Brasil SA,900,Cerrado,Antonio Batista Francisquine,300.0,60,Brazil Specialty Coffee Association,2015,"May 26th, 2015",Catuai,Completed,Natural / Dry,7.58,7.83,7.33,7.67,7.42,7.33,Sample,10.0,10.0,10.0,7.67,Sample  82.83,0.12,2,0.0,Green,6,"May 25th, 2016",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705
567,82.83,Arabica,EssenceCoffee,Colombia,,,3015388,Essence Coffee,1200-2000m,Huila,Mercedes Narvaez,100.0,24,Blossom Valley International,2014,"March 21st, 2015",Other,Completed,Washed / Wet,7.83,7.67,7.5,7.58,7.5,7.67,Sample,10.0,10.0,10.0,7.08,Sample  82.83,0.0,0,0.0,,1,"March 20th, 2016",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323
568,82.83,Arabica,Joshua Marsceau,United States,"Kampung keling, Jumaraj, Gurusinga, Gongsol",Pt. Olam Indonesia,015/1691/065,Olam Specialty Coffee,1200 m,Berastagi,PT. Olam Indonesia,300.0,60,Specialty Coffee Association,2014,"February 20th, 2015",Other,Completed,Other,7.42,7.58,7.25,7.5,7.75,7.75,Sample,10.0,10.0,10.0,7.58,Sample  82.83,0.0,0,0.0,,9,"February 20th, 2016",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
569,82.83,Arabica,Juan Luis Alvarado Romero,Guatemala,FINCA MEDINA,BENEFICIO SIEMBRAS VISIÓN (154),11-11711-27,"SIEMBRAS VISIÓN, S.A.",1500 MSNM,ANTIGUA,"SIEMBRAS VISIÓN, S.A.",250.0,69,Asociacion Nacional Del Café,2014,"March 24th, 2014",Bourbon,Completed,Washed / Wet,7.67,7.67,7.75,7.67,7.42,7.17,Sample,10.0,10.0,10.0,7.5,Sample  82.83,0.1,0,0.0,Green,4,"March 24th, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951
570,82.83,Arabica,"Coffeebythebag.com , INC",Colombia,,Trilladora Picaleña,3-320-0025,"Coffeebythebag.com , INC.",1800 mts,Santander,Mrs. Galeano,40.0,1,Almacafé,2013,"January 20th, 2014",Typica,Completed,Natural / Dry,7.5,7.42,7.58,7.5,7.58,7.58,Sample,10.0,10.0,10.0,7.67,Sample  82.83,0.0,4,0.0,Green,4,"January 20th, 2015",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600
571,82.83,Arabica,Racafe & Cia S.C.A,Colombia,,,3-37-1765,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,125.0,70,Almacafé,2013,"May 10th, 2013",Caturra,Completed,Washed / Wet,7.83,7.5,7.5,7.42,7.5,7.5,Sample,10.0,10.0,10.0,7.58,Sample  82.83,0.11,0,0.0,Green,3,"May 10th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600
572,82.83,Arabica,Edwin Agasso,"Tanzania, United Republic Of",BURKA COFFEE ESTATE,RAFIKI (COFFEE) LIMITED,033/DE/006/007,TCB,"1,400 METER ABOVE SEA LEVEL",ARUSHA,BURKA COFFEE ESTATE,300.0,2,Tanzanian Coffee Board,2012,"April 19th, 2013",Arusha,Completed,Washed / Wet,7.67,7.5,7.33,7.25,7.58,7.75,Sample,10.0,10.0,10.0,7.75,Sample  82.83,0.11,0,0.0,Green,5,"April 19th, 2014",Tanzanian Coffee Board,P.O.BOX 732,Carl Ulrick - +255 767 26 00 93
573,82.83,Arabica,ARMANDO LUIS POHLENZ MARTINEZ,Mexico,,FINCA CUSTEPEC,2676,BENEFICIO CUSTEPEC S.A. DE C.V.,1550,LA CONCORDIA,ARMANDO LUIS POHLENZ MARTINEZ,250.0,1,AMECAFE,2012,"August 30th, 2012",Caturra,Completed,Washed / Wet,7.58,7.67,7.5,7.58,7.5,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.83,0.12,2,0.0,Green,10,"August 30th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792
574,82.83,Arabica,ALFREDO BOJALIL,Mexico,SANTA ROSA,,1104373099,ECOMTRADING,1250,TEOCELO,OLIVIA HERNANDEZ VIRUES,250.0,1,AMECAFE,2012,"July 11th, 2012",Bourbon,Completed,Washed / Wet,7.67,7.58,7.42,7.75,7.42,7.42,Sample,10.0,10.0,10.0,7.58,Sample  82.83,0.12,0,0.0,Blue-Green,7,"July 11th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792
575,82.83,Arabica,Juan Luis Alvarado Romero,Guatemala,AGROPECUARIA QUIAGRAL,BENEFICIO IXCHEL,11/23/0934,"UNEX (GUATEMALA), S.A",4300,ORIENTE,AGROPECUARIA QUIAGRAL,250.0,1,Asociacion Nacional Del Café,2012,"July 9th, 2012",Bourbon,Completed,Washed / Wet,7.67,7.67,7.33,7.5,7.33,7.92,Sample,10.0,10.0,10.0,7.42,Sample  82.83,0.11,0,0.0,Green,10,"July 9th, 2013",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951
576,82.83,Arabica,ALFREDO BOJALIL,Mexico,FINCA NUEVA LINDA,AGROINDUSTRIAS UNIDAS DE MEXICO,2222,ECOMTRADING,1380,LA CONCORDIA,OCTAVIO MOGUEL FARRERA,250.0,1,AMECAFE,2012,"June 6th, 2012",Typica,Completed,Washed / Wet,7.58,7.58,7.5,7.42,7.67,7.58,Sample,10.0,10.0,10.0,7.5,Sample  82.83,0.11,0,0.0,,2,"June 6th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792
577,82.83,Arabica,The Coffee Source Inc.,El Salvador,Several Farms,La Majada Cooperative,9-29-1991,,1200 mts,Santa Ana,La Majada Cooperative,250.0,69,Specialty Coffee Association,2010-2011,"August 23rd, 2011",,Completed,,7.75,7.58,7.75,7.75,7.25,7.5,Sample,10.0,10.0,10.0,7.25,Sample  82.83,0.0,1,0.0,,3,"August 22nd, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100
578,82.75,Arabica,Juan Luis Alvarado Romero,Guatemala,PROVIDENCIA,BENEFICIO 2000,11-43367-27,INMOBILIARIA E INVERSIONES DOS MIL S.A.,1100,SANTA ROSA,PLANTACIONES AGROPECUARIAS S.A,275.0,69,Asociacion Nacional Del Café,,"January 9th, 2018",Caturra,Completed,Washed / Wet,7.5,7.58,7.42,7.67,7.58,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.75,0.1,0,1.0,Green,3,"January 9th, 2019",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951
